[748, 743, 749, 744]
[347, 404, 348, 405]
[347, 404, 364, 442]
[364, 442, 386, 464]
[386, 464, 400, 479]
[400, 479, 422, 496]
[422, 496, 457, 516]
[457, 516, 480, 527]
[480, 527, 503, 536]
[503, 536, 532, 534]
[532, 534, 551, 522]
[551, 522, 572, 509]
[572, 509, 598, 486]
[598, 486, 623, 463]
[623, 463, 646, 430]
[646, 430, 662, 403]
[662, 403, 666, 399]
[666, 400, 667, 401]
[666, 400, 677, 406]
[677, 406, 691, 401]
[691, 401, 692, 401]
[705, 387, 706, 388]
[705, 387, 718, 379]
[718, 379, 724, 374]
[693, 406, 694, 407]
[693, 406, 689, 423]
[689, 423, 683, 439]
[683, 439, 677, 454]
[677, 454, 675, 466]
[675, 466, 672, 475]
[671, 473, 672, 474]
[671, 473, 662, 486]
[662, 486, 645, 500]
[645, 500, 634, 510]
[634, 510, 616, 518]
[616, 518, 602, 526]
[602, 526, 588, 528]
[588, 528, 580, 528]
[582, 529, 583, 530]
[582, 529, 600, 532]
[600, 532, 612, 533]
[612, 533, 630, 523]
[630, 523, 651, 508]
[651, 508, 672, 488]
[672, 488, 686, 464]
[686, 464, 691, 445]
[691, 445, 696, 422]
[696, 422, 701, 400]
[701, 400, 705, 383]
[705, 383, 707, 364]
[707, 364, 711, 341]
[711, 341, 714, 328]
[693, 405, 694, 406]
[693, 405, 695, 383]
[695, 383, 701, 351]
[701, 351, 706, 322]
[706, 322, 707, 306]
[699, 281, 700, 282]
[699, 281, 699, 297]
[699, 297, 701, 312]
[701, 312, 704, 325]
[704, 325, 701, 339]
[701, 339, 699, 344]
[698, 283, 699, 284]
[698, 283, 695, 296]
[695, 296, 694, 309]
[694, 309, 692, 321]
[692, 321, 687, 333]
[687, 333, 682, 345]
[682, 345, 675, 354]
[675, 354, 673, 360]
[672, 359, 679, 340]
[679, 340, 687, 326]
[687, 326, 691, 315]
[691, 315, 685, 320]
[685, 320, 674, 331]
[674, 331, 664, 343]
[664, 343, 657, 349]
[657, 349, 647, 353]
[647, 353, 635, 355]
[635, 355, 650, 350]
[650, 350, 659, 343]
[659, 343, 665, 328]
[665, 328, 672, 301]
[672, 301, 669, 273]
[669, 273, 660, 254]
[660, 254, 658, 242]
[658, 242, 658, 263]
