[355, 524, 356, 525]
[355, 524, 361, 526]
[361, 526, 366, 529]
[366, 529, 371, 531]
[371, 531, 375, 533]
[375, 533, 381, 537]
[381, 537, 386, 540]
[386, 540, 392, 541]
[392, 541, 398, 542]
[398, 542, 404, 542]
[404, 542, 410, 543]
[410, 543, 416, 545]
[416, 545, 422, 547]
[422, 547, 428, 548]
[428, 548, 433, 551]
[433, 551, 438, 553]
[438, 553, 443, 556]
[443, 556, 448, 560]
[448, 560, 453, 563]
[453, 563, 459, 562]
[459, 562, 466, 558]
[466, 558, 472, 555]
[472, 555, 477, 553]
[477, 553, 485, 551]
[485, 551, 494, 548]
[494, 548, 502, 545]
[502, 545, 509, 544]
[509, 544, 516, 543]
[516, 543, 523, 541]
[523, 541, 531, 538]
[531, 538, 537, 536]
[537, 536, 542, 535]
[542, 535, 548, 534]
[548, 534, 553, 532]
[553, 532, 559, 529]
[559, 529, 563, 525]
[563, 525, 563, 519]
[563, 519, 560, 515]
[560, 515, 555, 512]
[555, 512, 547, 510]
[547, 510, 540, 510]
[540, 510, 534, 510]
[534, 510, 526, 510]
[526, 510, 519, 510]
[519, 510, 513, 510]
[513, 510, 506, 510]
[506, 510, 498, 510]
[498, 510, 492, 510]
[492, 510, 485, 511]
[485, 511, 479, 511]
[479, 511, 473, 511]
[473, 511, 467, 511]
[467, 511, 460, 511]
[460, 511, 453, 511]
[453, 511, 445, 511]
[445, 511, 438, 511]
[438, 511, 428, 511]
[428, 511, 419, 511]
[419, 511, 408, 512]
[408, 512, 399, 513]
[399, 513, 391, 514]
[391, 514, 382, 515]
[382, 515, 374, 517]
[374, 517, 367, 519]
[367, 519, 360, 521]
[360, 521, 354, 521]
[354, 521, 350, 524]
[350, 524, 349, 530]
[349, 530, 349, 537]
[349, 537, 349, 543]
[349, 543, 352, 546]
[352, 546, 356, 550]
[356, 550, 362, 553]
[362, 553, 367, 557]
[367, 557, 373, 560]
[373, 560, 380, 564]
[380, 564, 388, 567]
[388, 567, 394, 571]
[394, 571, 398, 576]
[398, 576, 403, 579]
[403, 579, 409, 580]
[409, 580, 415, 581]
[415, 581, 420, 582]
[420, 582, 427, 584]
[427, 584, 437, 586]
[437, 586, 443, 588]
[443, 588, 452, 588]
[452, 588, 465, 587]
[465, 587, 474, 585]
[474, 585, 484, 584]
[484, 584, 500, 581]
[500, 581, 509, 579]
[509, 579, 522, 573]
[522, 573, 530, 569]
[530, 569, 536, 565]
[536, 565, 545, 559]
[545, 559, 549, 554]
[549, 554, 553, 550]
[553, 550, 556, 545]
[556, 545, 559, 540]
[559, 540, 560, 533]
[560, 533, 562, 524]
[562, 524, 564, 519]
[564, 519, 565, 526]
[565, 526, 565, 533]
[565, 533, 565, 539]
[565, 539, 566, 544]
[566, 544, 573, 547]
[573, 547, 581, 547]
[581, 547, 588, 547]
[588, 547, 600, 545]
[600, 545, 612, 541]
[612, 541, 619, 538]
[619, 538, 632, 529]
[632, 529, 639, 521]
[639, 521, 651, 510]
[651, 510, 653, 510]
[653, 510, 658, 506]
[658, 506, 674, 492]
[674, 492, 680, 482]
[680, 482, 687, 468]
[687, 468, 694, 453]
[694, 453, 697, 444]
[697, 444, 702, 420]
[702, 420, 703, 411]
[703, 411, 700, 387]
[700, 387, 700, 373]
[700, 373, 697, 356]
[697, 356, 688, 335]
[688, 335, 682, 322]
[682, 322, 671, 303]
[671, 303, 668, 291]
[668, 291, 664, 284]
[664, 284, 659, 283]
[659, 283, 651, 286]
[651, 286, 639, 292]
[639, 292, 633, 298]
[633, 298, 621, 298]
[621, 298, 602, 302]
[602, 302, 601, 307]
[601, 307, 598, 313]
[598, 313, 593, 319]
[593, 319, 586, 323]
[586, 323, 569, 329]
[569, 329, 558, 336]
[558, 336, 551, 341]
[551, 341, 538, 351]
[538, 351, 534, 358]
[534, 358, 521, 376]
[521, 376, 514, 384]
[514, 384, 503, 397]
[503, 397, 495, 408]
[495, 408, 486, 424]
[486, 424, 480, 434]
[480, 434, 475, 449]
[475, 449, 473, 456]
[473, 456, 470, 470]
[470, 470, 470, 479]
[470, 479, 470, 493]
[470, 493, 470, 499]
[470, 499, 470, 505]
[470, 504, 471, 505]
[470, 504, 470, 510]
[470, 510, 470, 514]
[472, 435, 473, 436]
[472, 435, 448, 396]
[448, 396, 434, 380]
[434, 380, 424, 367]
[424, 367, 403, 351]
[403, 351, 391, 344]
[391, 344, 380, 336]
[380, 336, 355, 321]
[355, 321, 339, 311]
[339, 311, 322, 298]
[322, 298, 310, 290]
[310, 290, 301, 282]
[301, 282, 295, 282]
[295, 282, 289, 281]
[289, 281, 286, 285]
[286, 285, 284, 299]
[284, 299, 281, 311]
[281, 311, 274, 324]
[274, 324, 265, 340]
[265, 340, 253, 373]
[253, 373, 246, 395]
[246, 395, 244, 436]
[244, 436, 245, 446]
[245, 446, 258, 475]
[258, 475, 265, 483]
[265, 483, 293, 513]
[293, 513, 311, 525]
[311, 525, 325, 533]
[325, 533, 336, 540]
[336, 540, 342, 542]
[342, 542, 347, 543]
[347, 543, 352, 545]
[470, 436, 471, 437]
[470, 436, 473, 440]
[473, 440, 475, 445]
[475, 445, 477, 448]
[608, 549, 609, 550]
[608, 549, 620, 552]
[620, 552, 632, 558]
[632, 558, 642, 561]
[642, 561, 647, 562]
[647, 562, 655, 562]
[655, 562, 671, 559]
[671, 559, 682, 556]
[682, 556, 690, 556]
[690, 556, 711, 551]
[711, 551, 725, 547]
[725, 547, 750, 539]
[750, 539, 771, 529]
[771, 529, 785, 523]
[785, 523, 804, 514]
[804, 514, 819, 507]
[819, 507, 831, 502]
[831, 502, 844, 498]
[844, 498, 858, 495]
[858, 495, 874, 491]
[874, 491, 887, 487]
[887, 487, 898, 485]
[898, 485, 905, 485]
[905, 485, 914, 484]
[914, 484, 925, 483]
[925, 483, 929, 482]
[929, 482, 921, 481]
[921, 481, 908, 479]
[908, 479, 896, 477]
[896, 477, 886, 476]
[886, 476, 878, 475]
[878, 475, 868, 472]
[868, 472, 854, 471]
[854, 471, 842, 470]
[842, 470, 832, 470]
[832, 470, 824, 472]
[824, 472, 812, 475]
[812, 475, 801, 479]
[801, 479, 786, 483]
[786, 483, 777, 486]
[777, 486, 763, 486]
[763, 486, 754, 488]
[754, 488, 746, 489]
[746, 489, 739, 491]
[739, 491, 733, 495]
[733, 495, 725, 499]
[725, 499, 711, 506]
[711, 506, 700, 510]
[700, 510, 691, 514]
[691, 514, 680, 517]
[680, 517, 672, 520]
[672, 520, 664, 524]
[664, 524, 658, 525]
[658, 525, 651, 527]
[651, 527, 642, 528]
[642, 528, 636, 528]
[636, 528, 632, 528]
[603, 546, 604, 547]
[603, 546, 611, 547]
[611, 547, 615, 549]
[739, 489, 740, 490]
[739, 489, 745, 483]
[745, 483, 751, 477]
[751, 477, 758, 453]
[758, 453, 765, 439]
[765, 439, 775, 425]
[775, 425, 785, 410]
[785, 410, 786, 383]
[786, 383, 788, 369]
[788, 369, 793, 333]
[793, 333, 797, 316]
[797, 316, 805, 294]
[805, 294, 812, 276]
[812, 276, 822, 261]
[822, 261, 826, 253]
[826, 253, 834, 243]
[834, 243, 843, 234]
[843, 234, 849, 229]
[849, 229, 854, 225]
[854, 225, 850, 223]
[850, 223, 822, 238]
[822, 238, 805, 246]
[805, 246, 802, 250]
[802, 250, 790, 266]
[790, 266, 786, 278]
[786, 278, 774, 304]
[774, 304, 769, 316]
[769, 316, 743, 360]
[743, 360, 741, 369]
[741, 369, 732, 397]
[732, 397, 728, 408]
[728, 408, 717, 436]
[717, 436, 713, 445]
[713, 445, 706, 454]
[706, 454, 695, 462]
[695, 462, 687, 467]
[679, 303, 680, 304]
[679, 303, 682, 287]
[682, 287, 693, 273]
[693, 273, 699, 265]
[699, 265, 718, 250]
[718, 250, 735, 244]
[735, 244, 752, 238]
[752, 238, 761, 234]
[761, 234, 770, 230]
[770, 230, 777, 226]
[777, 226, 784, 223]
[784, 223, 793, 220]
[793, 220, 805, 217]
[805, 217, 818, 216]
[818, 216, 831, 216]
[831, 216, 839, 217]
[839, 217, 845, 219]
[845, 219, 851, 222]
[851, 222, 852, 223]
[677, 304, 678, 305]
[677, 304, 677, 312]
[677, 312, 677, 314]
[677, 302, 678, 303]
[677, 302, 677, 308]
[786, 413, 787, 414]
[786, 413, 793, 413]
[793, 413, 800, 413]
[800, 413, 806, 413]
[806, 413, 815, 413]
[815, 413, 820, 404]
[820, 404, 829, 385]
[829, 385, 836, 369]
[836, 369, 836, 366]
[836, 366, 847, 347]
[847, 347, 853, 334]
[853, 334, 860, 322]
[860, 322, 867, 304]
[867, 304, 875, 296]
[875, 296, 885, 284]
[885, 284, 891, 279]
[891, 279, 900, 273]
[900, 273, 907, 268]
[907, 268, 911, 266]
[911, 266, 912, 262]
[912, 262, 889, 260]
[889, 260, 878, 258]
[878, 258, 857, 256]
[857, 256, 834, 255]
[834, 255, 819, 256]
[819, 413, 820, 414]
[819, 413, 841, 416]
[841, 416, 855, 423]
[855, 423, 871, 427]
[871, 427, 888, 441]
[888, 441, 900, 452]
[900, 452, 913, 467]
[913, 467, 917, 473]
[917, 473, 917, 474]
[506, 581, 507, 582]
[506, 581, 516, 589]
[516, 589, 532, 600]
[532, 600, 548, 607]
[548, 607, 561, 611]
[561, 611, 584, 613]
[584, 613, 602, 618]
[602, 618, 616, 621]
[616, 621, 640, 624]
[640, 624, 652, 625]
[652, 625, 674, 625]
[674, 625, 683, 626]
[683, 626, 690, 630]
[690, 630, 695, 634]
[695, 634, 696, 622]
[696, 622, 698, 604]
[698, 604, 698, 589]
[698, 589, 699, 575]
[699, 575, 706, 559]
[706, 559, 713, 553]
[713, 553, 720, 550]
[720, 550, 724, 548]
[724, 548, 725, 548]
